SalesID,OrderID,CustomerID,ProductID,OrderDate,Quantity,UnitPrice,DiscountPercent,SalesAmount,ProfitAmount,Region
52,52421,180,25,12/9/2024,9,891.64,0.08,7382.78,1931.56,North
53,77425,361,19,4/14/2024,5,613.51,0.09,2791.47,503.03,South
54,63948,461,26,5/21/2025,2,1948.97,0.04,3742.02,1216.26,West
55,26631,471,13,3/2/2026,1,1562.75,0.3,1093.92,393.94,South
56,42447,360,13,11/28/2025,3,1562.75,0.07,4360.07,1366.53,South
57,45221,390,3,7/26/2024,7,772.4,0.15,4595.78,1255.69,East
58,22202,322,6,7/14/2024,7,900.58,0.11,5610.61,688.17,West
59,58374,207,19,8/19/2025,9,613.51,0.22,4306.84,1328.28,East
60,22208,233,11,7/26/2025,8,1204.13,0.1,8669.74,873.41,South
61,18300,375,19,9/23/2025,8,613.51,0.19,3975.54,1229.19,South
62,37767,408,25,8/14/2025,9,891.64,0.12,7061.79,2757.19,South
63,81737,254,22,3/15/2024,5,407.19,0.1,1832.36,339.13,East
64,55054,296,27,5/19/2024,3,654.92,0.17,1630.75,400.51,North
65,70238,458,26,7/17/2024,1,1948.97,0.01,1929.48,555.41,East
66,69836,9,6,9/3/2025,2,900.58,0.28,1296.84,191.15,North
67,27290,1,8,11/9/2024,7,908.71,0.06,5979.31,1833.12,East
68,45916,452,9,3/15/2026,5,827.93,0.05,3932.67,1493.7,North
69,95054,48,10,10/6/2024,6,720.75,0.08,3978.54,841.67,South
70,40689,85,11,4/6/2025,1,1204.13,0.12,1059.63,203.08,West
71,72496,220,23,5/8/2024,2,623.22,0.21,984.69,98.79,South
72,68335,40,17,1/13/2026,3,551.45,0.18,1356.57,347.05,West
73,65353,5,23,2/12/2025,1,623.22,0.21,492.34,169.92,East
74,21708,356,5,9/14/2023,3,230.97,0.14,595.9,100.52,South
75,49223,375,27,12/3/2024,2,654.92,0.03,1270.54,267.16,South
76,27451,71,6,6/24/2025,7,900.58,0.23,4854.13,1582.19,South
77,89995,329,18,8/2/2025,3,351.07,0.02,1032.15,277.63,West
78,92323,333,20,9/29/2025,3,518.37,0.13,1352.95,428.52,East
79,67984,384,2,8/28/2024,3,165.54,0.28,357.57,101.84,East
80,26142,441,16,11/18/2025,4,355.61,0.03,1379.77,179.56,West
81,28327,302,1,11/29/2023,7,604.85,0.11,3768.22,862.23,South
82,88774,127,20,6/23/2024,5,518.37,0.19,2099.4,366.24,North
83,13515,308,8,11/24/2024,10,908.71,0.09,8269.26,3162.03,North
84,34726,435,12,9/6/2025,5,44.43,0.06,208.82,58.9,East
85,41370,383,23,9/21/2023,7,623.22,0.09,3969.91,461.98,North
86,87847,254,14,10/15/2023,7,1812.31,0.03,12305.58,3074.86,East
87,57329,37,22,1/24/2025,9,407.19,0.27,2675.24,277.21,South
88,84498,479,3,11/10/2025,6,772.4,0.04,4449.02,1593.84,South
89,71736,216,14,9/29/2025,6,1812.31,0.16,9134.04,1386.83,West
90,44365,489,8,8/2/2023,2,908.71,0.01,1799.25,216.38,North
91,62163,111,2,8/14/2023,1,165.54,0.28,119.19,45.84,South
92,64451,260,9,2/14/2024,5,827.93,0.19,3353.12,839.33,South
93,90746,217,11,2/11/2026,7,1204.13,0.02,8260.33,2155.69,North
94,36633,79,19,4/27/2024,5,613.51,0.03,2975.52,368.09,South
95,93138,499,14,5/23/2023,3,1812.31,0.16,4567.02,992.05,West
96,41278,391,25,4/22/2025,2,891.64,0.09,1622.78,375.26,East
97,69424,30,23,4/17/2025,4,623.22,0.03,2418.09,557,North
98,96252,314,13,5/28/2023,10,1562.75,0.02,15314.95,4591.79,East
99,11487,380,1,5/4/2025,3,604.85,0.04,1741.97,544.14,East
100,43980,84,14,4/21/2026,8,1812.31,0.29,10293.92,2644.52,North
101,45227,86,11,8/21/2025,6,1204.13,0.04,6935.79,2318.89,North
102,66272,376,6,7/12/2025,2,900.58,0.23,1386.89,150.9,West
103,85582,140,25,8/18/2025,9,891.64,0.02,7864.26,2467,East
104,17266,322,24,4/14/2025,2,1686.39,0.15,2866.86,725.99,West
105,23487,256,27,6/3/2023,10,654.92,0.05,6221.74,915.8,East
106,76692,458,22,1/28/2025,10,407.19,0.2,3257.52,438.46,East
107,16026,2,14,8/10/2024,1,1812.31,0.26,1341.11,139.05,North
108,14635,242,18,8/3/2024,6,351.07,0.11,1874.71,271.88,East
109,51934,284,16,3/22/2024,7,355.61,0.07,2315.02,403.92,North
110,98254,139,16,11/6/2024,2,355.61,0.17,590.31,80.18,South
111,16019,462,23,10/13/2025,1,623.22,0.05,592.06,202.07,East
112,47002,489,16,12/22/2023,7,355.61,0.02,2439.48,584.33,North
113,11044,397,26,12/20/2025,5,1948.97,0.1,8770.36,2332.28,West
114,91620,189,3,12/9/2023,4,772.4,0.09,2811.54,942.85,West
115,35614,125,13,10/10/2024,8,1562.75,0.11,11126.78,4356.77,West
116,10835,376,4,9/29/2025,9,1484.52,0.23,10287.72,1785.31,West
117,93354,478,27,1/23/2025,7,654.92,0.01,4538.6,1191.22,North
118,96154,430,14,8/15/2024,1,1812.31,0.29,1286.74,129.24,South
119,41217,193,11,10/26/2025,5,1204.13,0.03,5840.03,1512.24,East
120,28661,215,10,10/22/2023,8,720.75,0.29,4093.86,1603.84,West
121,78125,365,23,9/17/2025,5,623.22,0.03,3022.62,1137.66,South
122,86122,212,18,8/25/2024,6,351.07,0.14,1811.52,587.6,East
123,19808,49,10,2/27/2025,9,720.75,0.04,6227.28,2154.57,West
124,27132,304,15,1/5/2026,10,1051.79,0.02,10307.54,3079.2,East
125,61505,122,18,4/24/2026,5,351.07,0.08,1614.92,314.11,North
126,19789,359,6,11/26/2025,6,900.58,0.1,4863.13,883.08,West
127,24283,484,11,3/22/2026,4,1204.13,0.04,4623.86,1530.7,South
128,63282,80,25,6/25/2025,2,891.64,0.05,1694.12,406.28,East
129,69233,62,7,5/4/2026,9,282.36,0.11,2261.7,748.85,South
130,30658,158,2,6/1/2024,8,165.54,0.08,1218.37,165.67,West
131,15286,414,2,1/3/2024,5,165.54,0.25,620.78,191.86,East
132,56627,111,11,10/20/2024,6,1204.13,0.04,6935.79,2173.31,South
133,32789,203,16,1/7/2025,9,355.61,0.01,3168.49,600.91,South
134,82105,16,14,1/27/2024,7,1812.31,0.26,9387.77,2504.53,East
135,28322,128,12,9/16/2024,2,44.43,0.14,76.42,26.07,East
136,39135,63,15,7/10/2023,1,1051.79,0.02,1030.75,344.57,East
137,92614,67,11,6/30/2023,4,1204.13,0.25,3612.39,764.64,North
138,19828,481,6,10/7/2025,2,900.58,0.17,1494.96,265.57,West
139,26880,12,23,6/1/2024,2,623.22,0.06,1171.65,344.23,West
140,16637,48,2,12/13/2024,6,165.54,0.04,953.51,364.89,South
141,75028,87,2,2/26/2025,10,165.54,0.13,1440.2,457.02,North
142,38143,16,5,5/28/2023,7,230.97,0.2,1293.43,196.4,East
143,29481,466,14,4/24/2024,3,1812.31,0.08,5001.98,1169.48,North
144,48680,18,27,8/24/2023,10,654.92,0.19,5304.85,921.64,East
145,21497,256,20,8/13/2024,7,518.37,0.26,2685.16,654.4,East
146,78919,144,3,6/14/2025,7,772.4,0.04,5190.53,829.64,East
147,57069,128,21,1/24/2025,9,1257.57,0.24,8601.78,3413.37,East
148,84141,246,2,1/7/2025,9,165.54,0.23,1147.19,233.12,West
149,51795,258,11,2/15/2026,6,1204.13,0.12,6357.81,978.75,South
150,46822,306,24,10/31/2025,4,1686.39,0.01,6678.1,2291.97,West
151,40508,30,9,6/16/2023,8,827.93,0.16,5563.69,1836.31,North
152,44934,499,9,12/23/2025,3,827.93,0.03,2409.28,715.7,West
153,85457,274,6,11/7/2023,1,900.58,0.23,693.45,266.52,West
154,32768,434,21,12/21/2025,7,1257.57,0.11,7834.66,2755.97,North
155,57026,91,2,10/14/2025,4,165.54,0.18,542.97,185.62,North
156,84403,468,24,10/2/2023,10,1686.39,0.01,16695.26,5178.34,East
157,74517,289,15,11/13/2023,3,1051.79,0.17,2618.96,409.79,North
158,17362,278,9,11/8/2023,5,827.93,0.05,3932.67,438.06,South
159,10089,120,24,6/21/2023,10,1686.39,0.07,15683.43,4045.3,North
160,33260,170,8,10/29/2025,10,908.71,0.06,8541.87,1188.57,West
161,28566,471,22,6/24/2023,6,407.19,0.02,2394.28,345.53,South
162,19506,397,6,7/16/2025,2,900.58,0.25,1350.87,483.88,West
163,52284,192,9,7/30/2024,7,827.93,0.18,4752.32,955.07,West
164,93789,70,14,4/28/2026,3,1812.31,0.22,4240.81,979.88,North
165,83659,492,17,9/15/2024,8,551.45,0.19,3573.4,544.09,North
166,87194,356,21,2/16/2025,10,1257.57,0.24,9557.53,1595.83,South
167,48602,418,5,5/22/2025,3,230.97,0.11,616.69,197.46,North
168,85082,66,26,2/11/2024,3,1948.97,0.22,4560.59,1754.17,East
169,90134,201,27,7/27/2023,10,654.92,0.01,6483.71,1820.08,South
170,53406,114,10,8/1/2024,10,720.75,0.03,6991.28,1739.82,North
171,32005,382,11,11/8/2025,2,1204.13,0.07,2239.68,884.03,South
172,54007,326,8,6/13/2024,2,908.71,0.25,1363.06,410.29,East
173,18885,229,12,6/24/2023,1,44.43,0.08,40.88,7.15,North
174,16310,180,22,2/15/2024,5,407.19,0.24,1547.32,489.15,North
175,64266,198,12,9/4/2025,8,44.43,0.22,277.24,108.33,East
176,72847,253,5,5/8/2026,7,230.97,0.11,1438.94,305.93,West
177,31319,404,22,8/31/2024,10,407.19,0.2,3257.52,997.28,West
178,12631,232,19,7/15/2023,2,613.51,0.24,932.54,102.6,South
179,32296,164,6,1/14/2024,5,900.58,0.29,3197.06,390.87,East
180,22203,455,25,9/28/2024,7,891.64,0.05,5929.41,726.36,East
181,14062,174,18,6/1/2024,10,351.07,0.3,2457.49,904.28,West
182,17019,221,26,4/4/2026,3,1948.97,0.18,4794.47,1103.97,East
183,82628,52,12,7/13/2023,6,44.43,0.06,250.59,39.34,North
184,41135,370,14,8/3/2024,9,1812.31,0.08,15005.93,2767.95,North
185,74349,50,24,8/15/2023,1,1686.39,0.12,1484.02,393.12,West
186,48607,79,12,9/15/2023,1,44.43,0.11,39.54,9.03,South
187,37125,422,22,2/15/2024,10,407.19,0.14,3501.83,452.07,East
188,25139,88,7,8/27/2023,5,282.36,0.29,1002.38,242.65,West
189,44734,158,26,2/25/2024,7,1948.97,0.14,11732.8,4323.11,West
190,59996,47,2,1/23/2026,9,165.54,0.12,1311.08,277.04,North
191,70956,190,21,5/21/2023,3,1257.57,0.13,3282.26,587.49,South
192,29808,135,12,1/16/2025,4,44.43,0.25,133.29,35.89,East
193,80968,386,22,4/16/2024,2,407.19,0.03,789.95,160.47,West
194,60738,212,9,5/18/2025,10,827.93,0.07,7699.75,910.84,East
195,72236,420,14,9/22/2025,9,1812.31,0.13,14190.39,3698.79,North
196,14551,294,7,6/22/2025,4,282.36,0.14,971.32,120.14,South
197,98805,258,6,8/19/2023,10,900.58,0.27,6574.23,2236.13,South
198,32659,318,27,1/30/2026,3,654.92,0.04,1886.17,617.07,East
199,26539,486,20,12/31/2023,3,518.37,0.29,1104.13,378.21,West
200,36465,22,6,12/16/2025,7,900.58,0.02,6177.98,1883.9,North
201,18783,422,13,5/20/2025,3,1562.75,0.25,3516.19,623.65,East
202,46202,45,1,3/14/2026,7,604.85,0.17,3514.18,933.42,West
203,91665,267,11,8/8/2025,8,1204.13,0.28,6935.79,719.3,East
204,29613,301,4,7/26/2023,9,1484.52,0.23,10287.72,1376.04,East
205,23133,76,2,9/7/2024,10,165.54,0.18,1357.43,444.58,West
206,47498,474,4,12/21/2023,2,1484.52,0.17,2464.3,321.09,South
207,44620,445,12,3/2/2024,9,44.43,0.26,295.9,107.52,South
208,32570,197,18,12/3/2025,8,351.07,0.17,2331.1,563.93,East
209,62654,142,15,8/6/2025,7,1051.79,0.04,7068.03,1997.4,North
210,41139,20,13,11/28/2023,7,1562.75,0.27,7985.65,1592.72,East
211,12651,26,7,10/23/2023,8,282.36,0.28,1626.39,600.32,West
212,99764,173,2,6/29/2023,5,165.54,0.09,753.21,265.77,North
213,68079,51,25,9/18/2025,4,891.64,0.04,3423.9,1343.08,West
214,94614,397,20,8/7/2023,6,518.37,0.08,2861.4,643.91,West
215,63368,46,9,7/3/2025,4,827.93,0.13,2881.2,1077.65,West
216,17367,380,8,12/27/2025,8,908.71,0.23,5597.65,2016.03,East
217,62872,264,9,11/2/2025,3,827.93,0.02,2434.11,761.56,South
218,35265,70,4,1/10/2024,9,1484.52,0.26,9886.9,1074.55,North
219,69827,449,22,5/24/2023,4,407.19,0.25,1221.57,213.59,South
220,70846,26,5,5/3/2024,6,230.97,0.21,1094.8,199.46,West
221,14005,259,6,10/22/2023,7,900.58,0.19,5106.29,700.39,South
222,72204,124,9,5/27/2024,6,827.93,0.15,4222.44,987.34,East
223,43903,301,3,12/3/2024,9,772.4,0.1,6256.44,932.55,East
224,31352,384,8,6/25/2023,2,908.71,0.09,1653.85,357.18,East
225,39012,438,24,5/13/2025,10,1686.39,0.23,12985.2,2133.41,West
226,63674,332,17,3/13/2025,4,551.45,0.2,1764.64,318.91,South
227,99417,263,12,2/13/2025,1,44.43,0.26,32.88,12.83,West
228,88792,5,18,4/17/2024,8,351.07,0.27,2050.25,603.21,East
229,50037,411,3,6/9/2025,1,772.4,0.07,718.33,202.93,West
230,55706,365,19,4/20/2024,5,613.51,0.13,2668.77,568.29,South
231,78241,236,10,12/29/2023,5,720.75,0.07,3351.49,638.94,South
232,77045,423,25,11/1/2025,10,891.64,0.12,7846.43,1025.48,West
233,47051,340,19,8/16/2023,6,613.51,0.17,3055.28,849.77,North
234,46239,153,27,7/25/2024,2,654.92,0.14,1126.46,226.29,West
235,95389,328,18,1/16/2024,6,351.07,0.26,1558.75,277.99,West
236,17441,153,14,5/2/2025,4,1812.31,0.04,6959.27,2294.07,West
237,28340,413,2,1/1/2026,10,165.54,0.12,1456.75,285.34,West
238,44003,370,16,1/19/2025,1,355.61,0.2,284.49,113.58,North
239,86418,465,12,3/3/2026,7,44.43,0.12,273.69,87.86,South
240,39145,363,23,12/13/2023,10,623.22,0.24,4736.47,961.27,South
241,98063,352,27,2/1/2024,9,654.92,0.19,4774.37,1158.84,North
242,96194,184,27,6/20/2025,9,654.92,0.09,5363.79,809.91,West
243,26769,449,9,3/3/2026,9,827.93,0.05,7078.8,915.15,South
244,33995,380,27,3/13/2024,5,654.92,0.22,2554.19,683.78,East
245,39272,485,9,10/28/2024,6,827.93,0.2,3974.06,662.38,East
246,58717,382,11,1/21/2026,5,1204.13,0.13,5237.97,1917.37,South
247,71674,134,1,2/23/2026,10,604.85,0.09,5504.14,1955.97,South
248,71894,28,11,7/4/2024,10,1204.13,0.17,9994.28,2860.33,South
249,60026,456,22,11/1/2023,4,407.19,0.15,1384.45,498.75,East
250,29762,272,26,8/10/2023,5,1948.97,0.12,8575.47,3097.93,West
251,69974,71,16,10/5/2023,4,355.61,0.1,1280.2,507.16,South
252,20592,74,3,9/10/2023,6,772.4,0.26,3429.46,528.5,West
253,93165,250,10,7/2/2023,6,720.75,0.19,3502.84,536.1,North
254,32099,30,14,11/28/2024,1,1812.31,0.14,1558.59,253.76,North
255,21539,296,2,8/15/2024,3,165.54,0.15,422.13,138.91,North
256,66233,67,11,7/18/2025,10,1204.13,0.13,10475.93,2397.13,North
257,36137,495,15,2/25/2025,8,1051.79,0.11,7488.74,833.63,West
258,79603,375,19,9/28/2024,6,613.51,0.29,2613.55,960.75,South
259,42613,98,20,5/22/2025,1,518.37,0.2,414.7,119.43,West
260,75973,116,21,2/21/2025,6,1257.57,0.09,6866.33,898.2,East
261,49085,302,21,4/9/2026,5,1257.57,0.05,5973.46,2073.7,South
262,78697,486,18,5/17/2023,5,351.07,0.14,1509.6,386.59,West
263,54922,173,14,12/20/2024,7,1812.31,0.27,9260.9,3691.78,North
264,62873,462,20,7/21/2023,8,518.37,0.11,3690.79,577.71,East
265,37681,10,15,9/23/2024,4,1051.79,0.07,3912.66,1547.32,South
266,58049,376,5,2/21/2026,1,230.97,0.18,189.4,28.54,West
267,80088,365,1,12/25/2025,1,604.85,0.11,538.32,157.24,South
268,24170,320,2,12/13/2023,1,165.54,0.18,135.74,15.53,West
269,68237,335,13,11/4/2025,1,1562.75,0.01,1547.12,208.45,South
270,30070,195,7,2/22/2024,2,282.36,0.16,474.36,114.95,North
271,96832,106,16,6/22/2025,1,355.61,0.09,323.61,96.6,South
272,64896,267,8,1/18/2025,5,908.71,0.19,3680.28,1141.69,East
273,47054,426,27,2/28/2024,2,654.92,0.15,1113.36,317.65,West
274,44471,59,6,10/5/2025,2,900.58,0.15,1530.99,432.81,East
275,63707,426,3,7/27/2023,9,772.4,0.29,4935.64,1023.54,West
276,37222,152,22,3/29/2025,3,407.19,0.01,1209.35,301.02,East
277,98032,353,4,2/21/2025,8,1484.52,0.1,10688.54,1077.63,East
278,29548,46,15,2/22/2026,2,1051.79,0.25,1577.68,474.42,West
279,23276,487,19,12/1/2024,2,613.51,0.23,944.81,115.75,North
280,48800,464,5,6/16/2023,5,230.97,0.19,935.43,221.72,West
281,15170,136,22,4/1/2025,8,407.19,0.02,3192.37,1098.03,South
282,65836,437,4,7/19/2023,5,1484.52,0.11,6606.11,2001.85,West
283,16014,379,26,3/16/2025,2,1948.97,0.03,3781,1238.13,North
284,56861,5,3,7/29/2024,3,772.4,0.2,1853.76,280.2,East
285,22183,458,5,2/28/2025,8,230.97,0.29,1311.91,236.79,East
286,69839,191,11,9/28/2025,6,1204.13,0.05,6863.54,1511.58,North
287,65278,140,12,9/12/2025,7,44.43,0.21,245.7,59.82,East
288,17686,333,1,3/26/2025,3,604.85,0.03,1760.11,543.61,East
289,73265,483,22,10/17/2024,3,407.19,0.03,1184.92,442.41,West
290,59774,411,3,4/4/2026,10,772.4,0.2,6179.2,953.93,West
291,27125,399,16,9/25/2024,6,355.61,0.18,1749.6,627.71,South
292,16025,248,27,1/26/2024,8,654.92,0.03,5082.18,1135.28,West
293,98857,33,6,8/7/2024,5,900.58,0.2,3602.32,373.59,West
294,97797,269,5,4/15/2024,10,230.97,0.22,1801.57,301.21,South
295,91033,448,2,10/18/2024,6,165.54,0.16,834.32,255.7,West
296,55318,49,8,8/10/2025,7,908.71,0.2,5088.78,888.36,West
297,90335,340,3,12/12/2023,7,772.4,0.04,5190.53,1805.95,North
298,71510,28,27,3/8/2024,1,654.92,0.19,530.49,78.02,South
299,74441,437,4,12/26/2023,8,1484.52,0.26,8788.36,1076.22,West
300,76444,165,11,9/10/2023,4,1204.13,0.1,4334.87,795.22,West
301,40801,115,27,9/10/2024,9,654.92,0.19,4774.37,1055.05,West
302,21536,41,10,10/15/2024,8,720.75,0.13,5016.42,1364.02,West
303,75191,439,11,11/25/2024,8,1204.13,0.13,8380.74,1136.53,East
304,83024,382,26,11/7/2024,1,1948.97,0.03,1890.5,422.91,South
305,91142,282,22,11/2/2023,1,407.19,0.25,305.39,103.08,East
306,95799,327,25,1/13/2026,5,891.64,0.27,3254.49,874.48,East
307,17113,344,7,6/4/2023,8,282.36,0.29,1603.8,335.2,West
308,91232,419,19,9/23/2023,4,613.51,0.25,1840.53,367.35,West
309,69314,308,9,1/25/2025,8,827.93,0.21,5232.52,1093.54,North
310,54742,59,26,7/4/2025,2,1948.97,0.23,3001.41,499.81,East
311,23935,182,27,9/14/2024,5,654.92,0.16,2750.66,583.6,West
312,63636,24,19,4/8/2026,3,613.51,0.15,1564.45,542.16,East
313,61497,55,10,10/20/2023,5,720.75,0.18,2955.08,461.77,South
314,54293,111,14,7/18/2023,8,1812.31,0.25,10873.86,1709.08,South
315,98098,56,11,5/15/2023,7,1204.13,0.01,8344.62,2419.71,North
316,96305,302,3,3/27/2024,2,772.4,0.23,1189.5,279.71,South
317,79515,302,12,8/10/2025,9,44.43,0.04,383.88,95.83,South
318,86692,377,22,7/15/2023,1,407.19,0.17,337.97,77.68,East
319,85832,248,19,1/25/2024,9,613.51,0.23,4251.62,1586.09,West
320,89450,89,8,9/29/2024,3,908.71,0.03,2644.35,786.05,South
321,89822,452,24,8/14/2023,6,1686.39,0.15,8600.59,1852.56,North
322,48557,469,3,5/27/2024,4,772.4,0.08,2842.43,1105.93,East
323,77147,232,24,3/10/2026,3,1686.39,0.04,4856.8,1363.58,South
324,82559,154,24,7/8/2025,9,1686.39,0.26,11231.36,3521.73,West
325,48086,324,1,5/1/2024,4,604.85,0.06,2274.24,653.27,West
326,95208,352,15,5/18/2025,6,1051.79,0.28,4543.73,635.22,North
327,52255,500,1,4/21/2025,3,604.85,0.15,1542.37,475.5,South
328,86389,364,8,10/1/2025,2,908.71,0.23,1399.41,376,East
329,79979,293,25,8/29/2024,7,891.64,0.2,4993.18,1838.29,East
330,13312,147,4,11/18/2025,7,1484.52,0.24,7897.65,2028.27,East
331,44993,196,5,6/17/2023,3,230.97,0.02,679.05,79.44,West
332,29192,385,4,11/20/2023,3,1484.52,0.3,3117.49,950.89,East
333,80932,430,8,7/16/2023,1,908.71,0.21,717.88,135.35,South
334,98542,17,24,4/30/2026,6,1686.39,0.24,7689.94,1005.41,West
335,83566,379,15,8/17/2023,9,1051.79,0.26,7004.92,2260.65,North
336,47701,200,25,11/15/2025,4,891.64,0.15,3031.58,1027.86,South
337,99803,355,18,7/23/2025,1,351.07,0.28,252.77,54.67,West
338,36619,161,8,10/1/2024,9,908.71,0.02,8014.82,2589.6,South
339,94886,318,23,1/7/2026,8,623.22,0.25,3739.32,1396.43,East
340,35362,189,20,7/1/2025,10,518.37,0.16,4354.31,1223.63,West
341,34507,151,5,2/8/2025,8,230.97,0.05,1755.37,535.03,North
342,15326,493,19,4/27/2025,3,613.51,0.22,1435.61,194.97,East
343,86544,220,4,3/7/2025,5,1484.52,0.17,6160.76,856.47,South
344,30290,434,2,11/5/2023,5,165.54,0,827.7,198.56,North
345,91968,21,8,1/14/2024,3,908.71,0.28,1962.81,547.75,South
346,56934,316,17,8/8/2023,5,551.45,0.15,2343.66,637.01,West
347,78236,38,10,10/14/2024,6,720.75,0.16,3632.58,1406.16,North
348,62876,35,17,7/5/2023,9,551.45,0.05,4714.9,1239.66,East
349,53500,48,4,8/15/2024,6,1484.52,0.07,8283.62,1358.56,South
350,91039,170,11,9/2/2024,6,1204.13,0.09,6574.55,2531.81,West
351,95105,272,1,1/1/2024,8,604.85,0.3,3387.16,1175.71,West
352,94182,5,21,2/27/2025,2,1257.57,0.2,2012.11,470.23,East
353,52065,315,14,9/13/2024,10,1812.31,0.07,16854.48,1887.08,North
354,47070,196,24,11/7/2024,2,1686.39,0.12,2968.05,777.84,West
355,76680,13,10,8/2/2024,9,720.75,0.25,4865.06,1033.76,East
356,35232,229,18,6/15/2024,8,351.07,0.01,2780.47,1027.34,North
357,80513,165,16,1/7/2025,9,355.61,0.02,3136.48,403.94,West
358,92511,274,5,4/10/2024,1,230.97,0.19,187.09,30.54,West
359,23621,397,2,8/21/2024,4,165.54,0.26,490,111.36,West
360,67047,106,24,11/13/2025,9,1686.39,0.25,11383.13,4138.81,South
361,70191,332,22,4/21/2026,2,407.19,0.22,635.22,92.82,South
362,33329,368,15,9/24/2023,6,1051.79,0.01,6247.63,762.05,East
363,39837,407,13,3/12/2025,5,1562.75,0.17,6485.41,1767.2,North
364,63011,467,13,8/23/2024,5,1562.75,0.12,6876.1,1618.21,South
365,80101,222,22,3/1/2025,6,407.19,0.01,2418.71,730.42,North
366,15965,4,21,3/26/2026,10,1257.57,0.02,12324.19,3990.39,South
367,47989,359,18,3/3/2026,2,351.07,0.11,624.9,156.76,West
368,67367,403,21,10/1/2025,5,1257.57,0.18,5156.04,951.06,East
369,30489,196,15,2/24/2024,7,1051.79,0.25,5521.9,603.24,West
370,81529,274,12,8/26/2024,4,44.43,0.04,170.61,37.07,West
